channel_id,timestamp,host_id,content_type,protocol,content_id,geo_location,user_id
87516,0,2088-05-13 08:34:08 ,156,8,1,,1083,0.0
29585,0,2088-05-13 08:34:11 ,156,8,1,,1,0.0
13769,0,2088-05-13 08:34:19 ,156,8,1,,381,0.0
72875,0,2088-05-13 08:34:20 ,156,8,1,,0,0.0
5895,0,2088-05-13 08:34:30 ,156,2,1,,1,13.0
2929,0,2088-05-13 08:34:40 ,156,8,1,,1,0.0
64911,0,2088-05-13 08:35:08 ,156,8,1,,1,0.0
37488,0,2088-05-13 08:36:43 ,156,8,1,,1,0.0
15725,0,2088-05-13 08:38:34 ,156,8,1,,361,0.0
31476,0,2088-05-13 08:39:35 ,156,2,1,,1,13.0
4898,0,2088-05-13 08:40:00 ,156,8,1,,1,0.0
37489,0,2088-05-13 08:40:28 ,156,2,1,,1,13.0
81538,0,2088-05-13 08:40:47 ,156,8,1,,675,0.0
58234,0,2088-05-13 08:41:32 ,156,2,1,,1,13.0
16720,0,2088-05-13 08:42:32 ,156,2,1,,1,13.0
46273,0,2088-05-13 08:43:34 ,156,2,1,,1,13.0
68903,0,2088-05-13 08:43:38 ,156,8,1,,1101,0.0
58235,0,2088-05-13 08:44:18 ,156,8,1,,1,0.0
18707,0,2088-05-13 08:44:19 ,156,8,1,,1,0.0
55202,0,2088-05-13 08:44:24 ,156,2,1,,1,13.0
52282,0,2088-05-13 08:44:31 ,156,2,1,,1,13.0
13737,0,2088-05-13 08:45:22 ,156,8,1,,0,0.0
66982,0,2088-05-13 08:45:30 ,156,2,1,,1,13.0
28564,0,2088-05-13 08:46:25 ,156,2,1,,1,13.0
16815,0,2088-05-13 08:47:27 ,156,2,1,,1,13.0
33357,0,2088-05-13 08:47:55 ,156,8,1,,834,0.0
53288,0,2088-05-13 08:48:25 ,156,8,1,,1,0.0
22705,0,2088-05-13 08:48:29 ,156,2,1,,1,13.0
28651,0,2088-05-13 08:49:28 ,156,2,1,,1,13.0
30501,0,2088-05-13 08:49:31 ,156,8,1,,1,0.0
